,Age,WFH_Days_Per_Week,Gender,Education_Level,Marital_Status,Has_Children,Location_Type,Department,Job_Level,Company_Size,Industry,Home_Office_Quality,Internet_Speed_Category,Work_Hours_Per_Week,Manager_Support_Level,Team_Collaboration_Frequency,Task_Completion_Rate,Quality_Score,Innovation_Score,Efficiency_Rating,Meetings_Per_Week,Commute_Time_Minutes,Job_Satisfaction,Stress_Level,Work_Life_Balance,Prod_Efficiency,Exp_Task_Rate
0,39,2,Female,Associate Degree,Married,Yes,Urban,Product,Mid-Level,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),41,Low,Few times per week,56.6,58.1,52.1,72.1,4,48,55.9,6,8,3763.62,566.0
1,33,5,Female,Master Degree,Married,No,Urban,Customer Success,Senior,Startup (1-50),Education,Good,Very Fast (100+ Mbps),52,Moderate,Monthly,70.8,93.3,77.9,89.5,12,0,96.1,3,8,7294.25,283.2
2,40,3,Male,PhD,Single,Yes,Rural,Operations,Mid-Level,Medium (201-1000),Technology,Excellent,Fast (50-100 Mbps),43,Moderate,Few times per week,81.9,84.7,63.2,95.0,15,24,90.4,5,6,7809.0,245.70000000000002
3,48,3,Male,Bachelor Degree,Married,Yes,Urban,Finance,Manager,Medium (201-1000),Technology,Excellent,Very Fast (100+ Mbps),45,High,Daily,70.2,67.8,82.5,95.0,8,8,100.0,10,5,7181.999999999999,982.8000000000001
4,32,5,Male,High School,Divorced,Yes,Rural,Engineering,Senior,Small (51-200),Technology,Average,Moderate (25-50 Mbps),42,Very Low,Few times per week,98.2,86.4,67.5,95.0,10,0,100.0,3,4,9310.0,589.2
5,32,4,Male,Bachelor Degree,In Relationship,No,Urban,HR,Mid-Level,Medium (201-1000),Technology,Good,Very Fast (100+ Mbps),43,Very High,Few times per week,59.8,60.6,44.2,72.5,7,49,100.0,7,5,4495.0,418.59999999999997
6,49,2,Female,High School,In Relationship,No,Suburban,Marketing,Junior,Enterprise (5000+),Education,Average,Moderate (25-50 Mbps),38,Moderate,Few times per week,75.0,65.8,79.4,90.0,10,12,100.0,8,3,5958.0,75.0
7,41,0,Female,Bachelor Degree,Married,No,Suburban,Sales,Manager,Large (1001-5000),Media,Excellent,Very Fast (100+ Mbps),45,Moderate,Weekly,75.0,86.3,75.2,94.8,7,13,100.0,4,5,7318.56,825.0
8,39,4,Female,PhD,Divorced,Yes,Urban,Engineering,Senior,Large (1001-5000),Media,Good,Slow (<25 Mbps),32,High,Daily,77.0,83.6,80.2,87.4,6,31,100.0,4,4,6327.760000000001,693.0
9,30,4,Female,Associate Degree,Married,Yes,Rural,Engineering,Junior,Enterprise (5000+),Finance,Good,Very Fast (100+ Mbps),32,High,Weekly,88.7,67.6,68.7,95.0,13,14,100.0,2,5,7704.499999999999,88.7
10,30,5,Male,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),31,Moderate,Few times per week,96.4,95.5,81.9,95.0,8,0,100.0,6,7,9310.0,96.4
11,37,5,Male,Bachelor Degree,Married,No,Urban,Engineering,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),50,High,Few times per week,86.2,84.4,79.2,95.0,11,0,100.0,7,5,7951.5,344.8
12,22,3,Male,Associate Degree,Divorced,Yes,Urban,HR,Junior,Startup (1-50),Finance,Good,Moderate (25-50 Mbps),36,Moderate,Weekly,84.4,70.1,75.7,91.2,11,17,100.0,4,6,6995.040000000001,84.4
13,22,0,Female,Bachelor Degree,Married,No,Rural,Engineering,Junior,Small (51-200),Technology,Excellent,Fast (50-100 Mbps),44,High,Few times per week,54.3,74.9,59.9,84.4,7,29,100.0,3,6,5435.360000000001,54.3
14,29,3,Male,Bachelor Degree,Single,No,Suburban,Sales,Junior,Large (1001-5000),Retail,Average,Moderate (25-50 Mbps),52,High,Few times per week,72.9,89.9,78.4,95.0,6,25,100.0,6,8,8046.5,72.9
15,25,4,Female,Associate Degree,Married,Yes,Suburban,Customer Success,Junior,Small (51-200),Manufacturing,Excellent,Fast (50-100 Mbps),43,Very High,Few times per week,91.4,90.1,83.6,95.0,5,34,100.0,3,8,9310.0,0.0
16,37,4,Female,Bachelor Degree,Single,Yes,Urban,Engineering,Senior,Startup (1-50),Consulting,Good,Very Fast (100+ Mbps),45,Very High,Weekly,69.5,78.6,77.7,95.0,12,13,100.0,4,4,7628.5,208.5
17,26,3,Male,Associate Degree,In Relationship,No,Suburban,Customer Success,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),36,Moderate,Daily,87.6,93.1,79.7,92.7,5,18,85.3,7,6,7073.01,175.2
18,22,3,Male,Bachelor Degree,Married,Yes,Urban,Operations,Junior,Medium (201-1000),Manufacturing,Good,Very Fast (100+ Mbps),43,High,Few times per week,82.4,80.5,78.5,95.0,5,30,100.0,6,7,8160.500000000001,0.0
19,48,2,Female,Bachelor Degree,Married,Yes,Urban,Sales,Lead,Medium (201-1000),Education,Average,Fast (50-100 Mbps),36,Moderate,Few times per week,82.2,80.7,59.3,92.4,7,58,99.2,9,6,6754.44,1397.4
20,32,2,Male,Master Degree,Divorced,No,Suburban,Engineering,Junior,Large (1001-5000),Government,Poor,Fast (50-100 Mbps),30,High,Daily,59.7,71.4,62.4,75.3,11,53,100.0,5,3,4359.87,59.7
21,35,3,Female,Master Degree,Married,No,Urban,Engineering,Junior,Startup (1-50),Finance,Excellent,Very Fast (100+ Mbps),42,Very High,Weekly,94.4,85.8,73.0,95.0,8,30,100.0,4,6,9310.0,94.4
22,22,1,Female,Master Degree,Married,No,Suburban,Sales,Junior,Medium (201-1000),Non-profit,Good,Very Fast (100+ Mbps),43,High,Few times per week,95.3,95.9,87.3,95.0,3,0,100.0,7,5,9310.0,0.0
23,30,2,Female,Bachelor Degree,Married,Yes,Rural,Engineering,Mid-Level,Small (51-200),Retail,Average,Very Fast (100+ Mbps),38,High,Daily,60.5,73.3,83.7,95.0,4,17,100.0,9,6,7581.0,302.5
24,35,2,Female,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Enterprise (5000+),Manufacturing,Good,Very Fast (100+ Mbps),37,Moderate,Few times per week,68.2,71.6,75.8,95.0,8,19,100.0,6,6,7913.5,0.0
25,24,3,Female,Bachelor Degree,Divorced,No,Urban,Engineering,Mid-Level,Small (51-200),Technology,Good,Very Fast (100+ Mbps),40,Very Low,Daily,100.0,100.0,91.3,95.0,8,40,100.0,5,7,9310.0,0.0
26,29,4,Male,Master Degree,In Relationship,Yes,Urban,Engineering,Mid-Level,Startup (1-50),Healthcare,Good,Very Fast (100+ Mbps),46,Moderate,Few times per week,89.2,81.4,67.3,95.0,9,1,95.4,6,5,7894.499999999999,267.6
27,32,3,Female,Bachelor Degree,Single,No,Urban,HR,Junior,Small (51-200),Technology,Excellent,Moderate (25-50 Mbps),44,Moderate,Daily,84.2,99.4,76.9,95.0,6,30,89.6,4,7,9310.0,84.2
28,29,4,Male,Bachelor Degree,Single,No,Suburban,Engineering,Mid-Level,Small (51-200),Finance,Average,Very Fast (100+ Mbps),51,Low,Monthly,84.9,88.9,76.4,95.0,6,32,91.5,9,8,8578.5,254.70000000000002
29,51,4,Male,Bachelor Degree,Single,No,Urban,Customer Success,Manager,Medium (201-1000),Government,Poor,Moderate (25-50 Mbps),39,Moderate,Daily,96.7,95.9,72.2,95.0,8,13,90.7,5,3,8246.0,2030.7
30,34,2,Male,Bachelor Degree,Married,Yes,Urban,Engineering,Mid-Level,Large (1001-5000),Finance,Average,Very Fast (100+ Mbps),42,Moderate,Few times per week,80.8,85.2,72.1,95.0,2,26,100.0,8,5,8493.0,646.4
31,25,3,Female,Professional Degree,Single,No,Urban,Finance,Junior,Small (51-200),Technology,Good,Fast (50-100 Mbps),43,Moderate,Weekly,71.4,75.5,69.8,86.2,4,48,100.0,6,5,6439.14,0.0
32,42,5,Male,Bachelor Degree,Single,No,Urban,Sales,Lead,Medium (201-1000),Healthcare,Poor,Very Fast (100+ Mbps),39,Moderate,Few times per week,63.4,87.0,64.4,95.0,7,0,100.0,6,5,7334.0,824.1999999999999
33,24,4,Male,Master Degree,Married,No,Suburban,Operations,Junior,Large (1001-5000),Technology,Poor,Fast (50-100 Mbps),30,Moderate,Monthly,52.4,69.3,53.6,84.2,7,4,50.3,5,9,4740.46,0.0
34,22,4,Female,Professional Degree,Married,Yes,Suburban,Marketing,Junior,Startup (1-50),Education,Good,Very Fast (100+ Mbps),56,Moderate,Bi-weekly,62.5,50.0,55.9,69.9,6,9,100.0,4,9,3508.9800000000005,62.5
35,23,1,Female,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Finance,Average,Moderate (25-50 Mbps),47,Moderate,Few times per week,100.0,97.9,66.8,95.0,6,47,100.0,5,6,8930.0,0.0
36,36,0,Female,Master Degree,Married,Yes,Suburban,Marketing,Junior,Large (1001-5000),Manufacturing,Average,Fast (50-100 Mbps),53,High,Few times per week,94.2,100.0,90.3,95.0,8,37,100.0,5,7,9310.0,188.4
37,36,2,Female,Master Degree,Divorced,No,Urban,Marketing,Mid-Level,Startup (1-50),Consulting,Good,Very Fast (100+ Mbps),41,Very High,Bi-weekly,89.8,93.3,95.0,95.0,5,4,100.0,6,7,9310.0,269.4
38,33,2,Male,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Government,Average,Very Fast (100+ Mbps),45,Low,Bi-weekly,67.5,78.6,63.5,95.0,3,15,73.1,6,7,6213.000000000001,0.0
39,32,4,Female,Bachelor Degree,Married,Yes,Urban,Engineering,Senior,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),48,High,Bi-weekly,82.5,83.3,83.1,95.0,3,20,100.0,3,6,7410.0,247.5
40,22,2,Female,Master Degree,Married,No,Urban,Operations,Junior,Medium (201-1000),Consulting,Average,Fast (50-100 Mbps),32,High,Weekly,74.0,79.8,75.9,94.3,2,72,100.0,6,5,6921.62,74.0
41,28,2,Male,PhD,Single,Yes,Rural,Data Science,Junior,Large (1001-5000),Healthcare,Excellent,Very Fast (100+ Mbps),44,Moderate,Daily,88.2,83.8,89.2,82.7,7,24,100.0,3,9,6202.5,176.4
42,30,4,Female,Bachelor Degree,Divorced,No,Urban,Marketing,Junior,Small (51-200),Healthcare,Good,Very Fast (100+ Mbps),41,Moderate,Daily,100.0,92.1,64.6,95.0,6,2,100.0,9,9,8578.5,0.0
43,44,4,Male,Master Degree,Single,No,Suburban,Finance,Senior,Enterprise (5000+),Technology,Good,Fast (50-100 Mbps),50,High,Daily,99.8,75.7,79.4,95.0,8,18,100.0,4,3,7495.500000000001,698.6
44,38,2,Female,Associate Degree,Divorced,Yes,Suburban,Marketing,Mid-Level,Large (1001-5000),Finance,Average,Very Fast (100+ Mbps),44,High,Daily,100.0,99.1,80.9,95.0,9,20,100.0,7,5,9310.0,900.0
45,22,4,Male,Master Degree,Married,Yes,Urban,Marketing,Junior,Small (51-200),Government,Excellent,Fast (50-100 Mbps),27,Low,Daily,52.6,70.0,56.2,93.9,8,33,100.0,4,7,6413.37,0.0
46,31,3,Female,Bachelor Degree,Married,Yes,Suburban,Engineering,Junior,Startup (1-50),Technology,Good,Fast (50-100 Mbps),29,Very High,Daily,100.0,96.2,74.0,95.0,6,0,100.0,9,8,9310.0,0.0
47,28,0,Female,Master Degree,Married,Yes,Urban,Product,Senior,Small (51-200),Technology,Average,Very Fast (100+ Mbps),49,Moderate,Monthly,77.4,81.5,51.2,95.0,4,21,100.0,8,8,7210.500000000001,232.20000000000002
48,40,0,Female,Master Degree,Married,No,Urban,Sales,Senior,Large (1001-5000),Healthcare,Good,Moderate (25-50 Mbps),37,Moderate,Daily,51.0,76.5,72.2,87.1,5,63,96.2,7,5,5739.89,459.0
49,44,3,Male,Bachelor Degree,Married,Yes,Rural,Operations,Lead,Small (51-200),Government,Average,Very Fast (100+ Mbps),35,Moderate,Daily,63.6,58.8,68.2,77.1,9,34,82.8,7,5,4263.629999999999,699.6
50,43,2,Male,Master Degree,Married,No,Suburban,Marketing,Senior,Large (1001-5000),Education,Poor,Fast (50-100 Mbps),37,Moderate,Weekly,73.4,80.9,86.0,95.0,10,36,100.0,8,5,7875.500000000001,513.8000000000001
51,27,5,Male,Associate Degree,Married,Yes,Urban,Sales,Junior,Small (51-200),Technology,Average,Moderate (25-50 Mbps),36,Low,Weekly,100.0,100.0,81.0,95.0,5,0,100.0,7,6,9310.0,100.0
52,32,4,Female,Master Degree,Married,No,Urban,Sales,Senior,Large (1001-5000),Finance,Excellent,Fast (50-100 Mbps),41,Low,Daily,100.0,93.6,83.6,95.0,12,16,100.0,8,8,8968.0,500.0
53,37,4,Female,Master Degree,Married,Yes,Suburban,Operations,Senior,Small (51-200),Finance,Excellent,Fast (50-100 Mbps),36,Moderate,Daily,83.5,83.2,68.7,95.0,7,35,75.1,5,5,7989.499999999999,668.0
54,43,5,Male,Associate Degree,Single,Yes,Urban,Engineering,Senior,Large (1001-5000),Technology,Average,Very Fast (100+ Mbps),40,High,Daily,77.8,86.3,65.5,91.0,8,0,100.0,6,7,7480.2,466.79999999999995
55,30,5,Male,Master Degree,Divorced,No,Urban,Sales,Junior,Startup (1-50),Healthcare,Good,Moderate (25-50 Mbps),32,High,Few times per week,75.4,81.1,62.2,95.0,5,0,100.0,6,8,6830.500000000001,75.4
56,33,2,Female,Bachelor Degree,Married,Yes,Suburban,Marketing,Junior,Small (51-200),Technology,Average,Very Fast (100+ Mbps),40,Moderate,Daily,86.7,85.3,71.6,95.0,4,47,84.7,4,6,8911.0,173.4
57,25,1,Male,Bachelor Degree,Married,No,Urban,Data Science,Junior,Medium (201-1000),Consulting,Average,Fast (50-100 Mbps),50,Moderate,Weekly,70.7,86.4,55.5,95.0,10,12,100.0,6,6,7923.000000000001,70.7
58,24,4,Female,Bachelor Degree,In Relationship,No,Suburban,Sales,Junior,Medium (201-1000),Healthcare,Poor,Very Fast (100+ Mbps),39,Very High,Weekly,84.9,100.0,95.0,95.0,5,41,100.0,3,6,9310.0,0.0
59,42,2,Male,Bachelor Degree,Married,No,Suburban,Operations,Senior,Medium (201-1000),Consulting,Good,Very Fast (100+ Mbps),45,Moderate,Weekly,100.0,99.0,88.5,95.0,12,79,100.0,6,7,9310.0,600.0
60,47,3,Female,Master Degree,Married,Yes,Urban,Engineering,Lead,Medium (201-1000),Government,Average,Very Fast (100+ Mbps),34,Low,Few times per week,70.8,74.9,61.3,95.0,5,18,76.0,3,8,7096.5,424.79999999999995
61,34,4,Male,Bachelor Degree,Married,Yes,Urban,Engineering,Mid-Level,Enterprise (5000+),Government,Excellent,Very Fast (100+ Mbps),45,High,Daily,89.9,98.5,81.2,95.0,8,9,100.0,6,10,9310.0,359.6
62,44,5,Female,Bachelor Degree,Divorced,No,Urban,Product,Manager,Small (51-200),Technology,Good,Moderate (25-50 Mbps),48,Moderate,Few times per week,92.9,97.3,95.0,95.0,12,0,100.0,6,8,9310.0,1579.3000000000002
63,38,3,Female,Master Degree,Single,No,Suburban,HR,Lead,Large (1001-5000),Government,Excellent,Moderate (25-50 Mbps),50,Moderate,Few times per week,91.2,91.9,87.3,95.0,7,37,100.0,3,6,8759.0,1003.2
64,29,4,Male,Associate Degree,Married,Yes,Urban,Sales,Junior,Medium (201-1000),Manufacturing,Average,Fast (50-100 Mbps),43,High,Weekly,60.6,55.4,42.0,66.0,2,38,100.0,5,3,3517.7999999999997,60.6
65,38,2,Female,Bachelor Degree,Married,Yes,Urban,Marketing,Junior,Medium (201-1000),Manufacturing,Average,Very Fast (100+ Mbps),46,Moderate,Bi-weekly,89.1,90.9,72.4,95.0,6,29,86.0,7,4,7751.999999999999,178.2
66,48,4,Female,Bachelor Degree,Single,Yes,Rural,Engineering,Manager,Medium (201-1000),Technology,Excellent,Very Fast (100+ Mbps),34,High,Daily,82.2,89.3,79.2,95.0,9,6,100.0,6,2,9310.0,1397.4
67,34,0,Female,Master Degree,Single,No,Urban,Finance,Mid-Level,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),39,Moderate,Monthly,71.4,73.0,56.9,88.2,10,43,100.0,6,6,6712.0199999999995,357.0
68,49,5,Female,Bachelor Degree,Married,Yes,Rural,Engineering,Director,Medium (201-1000),Non-profit,Average,Very Fast (100+ Mbps),37,Moderate,Bi-weekly,81.2,96.1,82.7,95.0,12,0,95.0,5,6,7999.0,1948.8000000000002
69,22,0,Male,Bachelor Degree,Married,No,Urban,HR,Junior,Large (1001-5000),Technology,Average,Fast (50-100 Mbps),43,Moderate,Daily,59.9,50.0,49.1,69.6,9,0,71.1,2,8,3375.6,0.0
70,42,4,Female,Bachelor Degree,Divorced,Yes,Urban,Marketing,Mid-Level,Startup (1-50),Technology,Average,Very Fast (100+ Mbps),38,High,Daily,87.3,83.3,70.8,95.0,10,27,100.0,9,3,8559.5,611.1
71,32,2,Female,Associate Degree,Married,Yes,Urban,Product,Senior,Small (51-200),Media,Average,Moderate (25-50 Mbps),56,Moderate,Few times per week,100.0,92.8,81.0,95.0,7,26,87.9,5,6,9310.0,900.0
72,35,3,Female,PhD,Single,No,Urban,Data Science,Mid-Level,Medium (201-1000),Healthcare,Good,Fast (50-100 Mbps),45,High,Daily,98.3,97.3,84.3,95.0,10,43,100.0,3,8,9310.0,491.5
73,22,3,Male,Master Degree,Married,Yes,Urban,Engineering,Junior,Medium (201-1000),Media,Good,Moderate (25-50 Mbps),50,Very High,Daily,89.0,81.9,69.5,95.0,7,57,100.0,6,3,8131.999999999999,0.0
74,33,1,Female,Master Degree,Married,Yes,Rural,Customer Success,Lead,Medium (201-1000),Finance,Good,Fast (50-100 Mbps),34,High,Bi-weekly,100.0,96.7,67.9,95.0,9,56,100.0,9,5,9310.0,600.0
75,38,2,Female,Bachelor Degree,Married,Yes,Urban,HR,Lead,Medium (201-1000),Technology,Average,Fast (50-100 Mbps),41,Moderate,Daily,100.0,93.8,83.3,95.0,8,38,100.0,4,7,9177.0,1000.0
76,48,4,Male,Bachelor Degree,Single,Yes,Suburban,HR,Manager,Small (51-200),Healthcare,Good,Very Fast (100+ Mbps),43,Moderate,Few times per week,92.5,87.2,67.9,95.0,9,32,86.9,5,5,8065.500000000001,1110.0
77,30,4,Female,Master Degree,Married,Yes,Suburban,Design,Mid-Level,Medium (201-1000),Education,Average,Very Fast (100+ Mbps),42,Very Low,Weekly,61.3,60.6,47.0,82.1,12,28,48.4,4,10,4950.629999999999,0.0
78,27,0,Female,Associate Degree,Divorced,No,Suburban,Marketing,Mid-Level,Medium (201-1000),Finance,Excellent,Moderate (25-50 Mbps),53,High,Bi-weekly,56.2,68.7,81.7,75.1,8,14,100.0,8,6,4896.5199999999995,56.2
79,30,4,Male,Associate Degree,Married,No,Suburban,Finance,Mid-Level,Small (51-200),Finance,Average,Fast (50-100 Mbps),37,High,Daily,79.8,78.0,72.3,88.9,11,31,100.0,6,9,6454.14,399.0
80,43,0,Male,Bachelor Degree,Married,Yes,Urban,Customer Success,Lead,Small (51-200),Technology,Average,Fast (50-100 Mbps),43,Moderate,Daily,100.0,88.7,75.4,95.0,12,28,100.0,8,9,8160.500000000001,1300.0
81,37,3,Female,PhD,Married,No,Urban,Marketing,Junior,Large (1001-5000),Technology,Good,Fast (50-100 Mbps),27,Moderate,Weekly,90.8,97.0,89.4,95.0,6,36,100.0,8,5,9006.0,454.0
82,30,2,Male,Master Degree,Single,No,Urban,Marketing,Junior,Large (1001-5000),Retail,Good,Very Fast (100+ Mbps),44,High,Weekly,80.6,73.6,59.2,95.0,11,57,100.0,7,5,7115.500000000001,0.0
83,39,3,Male,Bachelor Degree,Single,Yes,Urban,Sales,Lead,Small (51-200),Finance,Excellent,Slow (<25 Mbps),45,High,Monthly,97.8,91.3,71.9,95.0,7,18,100.0,4,5,9310.0,978.0
84,35,2,Male,Master Degree,Divorced,No,Urban,HR,Mid-Level,Small (51-200),Technology,Average,Very Fast (100+ Mbps),41,High,Daily,73.9,88.9,95.0,95.0,14,33,100.0,2,6,8455.0,517.3000000000001
