Age,Years_Experience,WFH_Days_Per_Week,Gender,Education_Level,Marital_Status,Has_Children,Location_Type,Department,Job_Level,Company_Size,Industry,Home_Office_Quality,Internet_Speed_Category,Work_Hours_Per_Week,Manager_Support_Level,Team_Collaboration_Frequency,Productivity_Score,Task_Completion_Rate,Quality_Score,Innovation_Score,Efficiency_Rating,Meetings_Per_Week,Commute_Time_Minutes,Job_Satisfaction,Stress_Level,Work_Life_Balance,Smart_Work_Index
39,10,2,Female,Associate Degree,Married,Yes,Urban,Product,Mid-Level,Large (1001-5000),Finance,Good,Very Fast (100+ Mbps),41,Low,Few times per week,52.2,56.6,58.1,52.1,72.1,4,48,55.9,6,8,2948.86
33,4,5,Female,Master Degree,Married,No,Urban,Customer Success,Senior,Startup (1-50),Education,Good,Very Fast (100+ Mbps),52,Moderate,Monthly,81.5,70.8,93.3,77.9,89.5,12,0,96.1,3,8,5515.320000000001
40,3,3,Male,PhD,Single,Yes,Rural,Operations,Mid-Level,Medium (201-1000),Technology,Excellent,Fast (50-100 Mbps),43,Moderate,Few times per week,82.2,81.9,84.7,63.2,95.0,15,24,90.4,5,6,5176.080000000001
48,14,3,Male,Bachelor Degree,Married,Yes,Urban,Finance,Manager,Medium (201-1000),Technology,Excellent,Very Fast (100+ Mbps),45,High,Daily,75.6,70.2,67.8,82.5,95.0,8,8,100.0,10,5,5791.5
32,6,5,Male,High School,Divorced,Yes,Rural,Engineering,Senior,Small (51-200),Technology,Average,Moderate (25-50 Mbps),42,Very Low,Few times per week,98.0,98.2,86.4,67.5,95.0,10,0,100.0,3,4,6628.5
32,7,4,Male,Bachelor Degree,In Relationship,No,Urban,HR,Mid-Level,Medium (201-1000),Technology,Good,Very Fast (100+ Mbps),43,Very High,Few times per week,62.0,59.8,60.6,44.2,72.5,7,49,100.0,7,5,2643.16
49,1,2,Female,High School,In Relationship,No,Suburban,Marketing,Junior,Enterprise (5000+),Education,Average,Moderate (25-50 Mbps),38,Moderate,Few times per week,66.2,75.0,65.8,79.4,90.0,10,12,100.0,8,3,5955.0
41,11,0,Female,Bachelor Degree,Married,No,Suburban,Sales,Manager,Large (1001-5000),Media,Excellent,Very Fast (100+ Mbps),45,Moderate,Weekly,77.2,75.0,86.3,75.2,94.8,7,13,100.0,4,5,5640.0
39,9,4,Female,PhD,Divorced,Yes,Urban,Engineering,Senior,Large (1001-5000),Media,Good,Slow (<25 Mbps),32,High,Daily,72.4,77.0,83.6,80.2,87.4,6,31,100.0,4,4,6175.400000000001
30,1,4,Female,Associate Degree,Married,Yes,Rural,Engineering,Junior,Enterprise (5000+),Finance,Good,Very Fast (100+ Mbps),32,High,Weekly,81.1,88.7,67.6,68.7,95.0,13,14,100.0,2,5,6093.6900000000005
30,1,5,Male,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),31,Moderate,Few times per week,98.0,96.4,95.5,81.9,95.0,8,0,100.0,6,7,7895.160000000001
37,4,5,Male,Bachelor Degree,Married,No,Urban,Engineering,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),50,High,Few times per week,83.7,86.2,84.4,79.2,95.0,11,0,100.0,7,5,6827.040000000001
22,1,3,Male,Associate Degree,Divorced,Yes,Urban,HR,Junior,Startup (1-50),Finance,Good,Moderate (25-50 Mbps),36,Moderate,Weekly,76.7,84.4,70.1,75.7,91.2,11,17,100.0,4,6,6389.080000000001
22,1,0,Female,Bachelor Degree,Married,No,Rural,Engineering,Junior,Small (51-200),Technology,Excellent,Fast (50-100 Mbps),44,High,Few times per week,64.4,54.3,74.9,59.9,84.4,7,29,100.0,3,6,3252.5699999999997
29,1,3,Male,Bachelor Degree,Single,No,Suburban,Sales,Junior,Large (1001-5000),Retail,Average,Moderate (25-50 Mbps),52,High,Few times per week,84.7,72.9,89.9,78.4,95.0,6,25,100.0,6,8,5715.360000000001
25,0,4,Female,Associate Degree,Married,Yes,Suburban,Customer Success,Junior,Small (51-200),Manufacturing,Excellent,Fast (50-100 Mbps),43,Very High,Few times per week,98.0,91.4,90.1,83.6,95.0,5,34,100.0,3,8,7641.04
37,3,4,Female,Bachelor Degree,Single,Yes,Urban,Engineering,Senior,Startup (1-50),Consulting,Good,Very Fast (100+ Mbps),45,Very High,Weekly,80.3,69.5,78.6,77.7,95.0,12,13,100.0,4,4,5400.150000000001
26,2,3,Male,Associate Degree,In Relationship,No,Suburban,Customer Success,Junior,Small (51-200),Finance,Good,Very Fast (100+ Mbps),36,Moderate,Daily,76.3,87.6,93.1,79.7,92.7,5,18,85.3,7,6,6981.719999999999
22,0,3,Male,Bachelor Degree,Married,Yes,Urban,Operations,Junior,Medium (201-1000),Manufacturing,Good,Very Fast (100+ Mbps),43,High,Few times per week,85.9,82.4,80.5,78.5,95.0,5,30,100.0,6,7,6468.400000000001
48,17,2,Female,Bachelor Degree,Married,Yes,Urban,Sales,Lead,Medium (201-1000),Education,Average,Fast (50-100 Mbps),36,Moderate,Few times per week,73.1,82.2,80.7,59.3,92.4,7,58,99.2,9,6,4874.46
32,1,2,Male,Master Degree,Divorced,No,Suburban,Engineering,Junior,Large (1001-5000),Government,Poor,Fast (50-100 Mbps),30,High,Daily,57.9,59.7,71.4,62.4,75.3,11,53,100.0,5,3,3725.28
35,1,3,Female,Master Degree,Married,No,Urban,Engineering,Junior,Startup (1-50),Finance,Excellent,Very Fast (100+ Mbps),42,Very High,Weekly,98.0,94.4,85.8,73.0,95.0,8,30,100.0,4,6,6891.200000000001
22,0,1,Female,Master Degree,Married,No,Suburban,Sales,Junior,Medium (201-1000),Non-profit,Good,Very Fast (100+ Mbps),43,High,Few times per week,98.0,95.3,95.9,87.3,95.0,3,0,100.0,7,5,8319.689999999999
30,5,2,Female,Bachelor Degree,Married,Yes,Rural,Engineering,Mid-Level,Small (51-200),Retail,Average,Very Fast (100+ Mbps),38,High,Daily,79.8,60.5,73.3,83.7,95.0,4,17,100.0,9,6,5063.85
35,0,2,Female,Bachelor Degree,Married,No,Suburban,Engineering,Junior,Enterprise (5000+),Manufacturing,Good,Very Fast (100+ Mbps),37,Moderate,Few times per week,83.3,68.2,71.6,75.8,95.0,8,19,100.0,6,6,5169.56
24,0,3,Female,Bachelor Degree,Divorced,No,Urban,Engineering,Mid-Level,Small (51-200),Technology,Good,Very Fast (100+ Mbps),40,Very Low,Daily,98.0,100.0,100.0,91.3,95.0,8,40,100.0,5,7,9130.0
29,3,4,Male,Master Degree,In Relationship,Yes,Urban,Engineering,Mid-Level,Startup (1-50),Healthcare,Good,Very Fast (100+ Mbps),46,Moderate,Few times per week,83.1,89.2,81.4,67.3,95.0,9,1,95.4,6,5,6003.16
32,1,3,Female,Bachelor Degree,Single,No,Urban,HR,Junior,Small (51-200),Technology,Excellent,Moderate (25-50 Mbps),44,Moderate,Daily,98.0,84.2,99.4,76.9,95.0,6,30,89.6,4,7,6474.9800000000005
29,3,4,Male,Bachelor Degree,Single,No,Suburban,Engineering,Mid-Level,Small (51-200),Finance,Average,Very Fast (100+ Mbps),51,Low,Monthly,90.3,84.9,88.9,76.4,95.0,6,32,91.5,9,8,6486.360000000001
51,21,4,Male,Bachelor Degree,Single,No,Urban,Customer Success,Manager,Medium (201-1000),Government,Poor,Moderate (25-50 Mbps),39,Moderate,Daily,86.8,96.7,95.9,72.2,95.0,8,13,90.7,5,3,6981.740000000001
34,8,2,Male,Bachelor Degree,Married,Yes,Urban,Engineering,Mid-Level,Large (1001-5000),Finance,Average,Very Fast (100+ Mbps),42,Moderate,Few times per week,89.4,80.8,85.2,72.1,95.0,2,26,100.0,8,5,5825.679999999999
25,0,3,Female,Professional Degree,Single,No,Urban,Finance,Junior,Small (51-200),Technology,Good,Fast (50-100 Mbps),43,Moderate,Weekly,74.7,71.4,75.5,69.8,86.2,4,48,100.0,6,5,4983.72
42,13,5,Male,Bachelor Degree,Single,No,Urban,Sales,Lead,Medium (201-1000),Healthcare,Poor,Very Fast (100+ Mbps),39,Moderate,Few times per week,77.2,63.4,87.0,64.4,95.0,7,0,100.0,6,5,4082.9600000000005
24,0,4,Male,Master Degree,Married,No,Suburban,Operations,Junior,Large (1001-5000),Technology,Poor,Fast (50-100 Mbps),30,Moderate,Monthly,56.3,52.4,69.3,53.6,84.2,7,4,50.3,5,9,2808.64
